# E[eV], EF_E [erg/cm^3s]
4.627468430332138087e+04,0.000000000000000000e+00
5.114143533516243770e+04,0.000000000000000000e+00
5.652002704106782039e+04,3.186413706852269015e-21
6.246429017463743367e+04,3.891894570928059016e-21
6.903371691924768675e+04,4.753570872386672664e-21
7.629405630581929290e+04,5.806024721759198306e-21
8.431797225121743395e+04,7.091494807688745047e-21
9.318577080315491185e+04,8.661571585652105513e-21
1.029862038701097335e+05,1.057926778656326509e-20
1.138173574802549701e+05,1.292154734226349362e-20
1.257876334593975189e+05,1.578241422286165178e-20
1.390168343528853438e+05,1.927668515222154033e-20
1.536373624497484998e+05,2.354459761446912921e-20
1.697955449093098287e+05,2.875743808774665958e-20
1.876530982525767176e+05,3.512441638700298368e-20
2.073887468755398295e+05,4.290106200869462990e-20
2.292000117829983938e+05,5.239947945402588428e-20
2.533051874451655021e+05,6.400087411533671921e-20
2.799455265620980063e+05,7.817085143678469239e-20
3.093876546018042136e+05,9.547810336286981464e-20
3.419262382775472943e+05,1.166172320336923535e-19
3.778869346713494742e+05,1.424366267301912241e-19
4.176296505195274367e+05,1.739725128801646261e-19
4.615521442802785896e+05,2.124905396462230865e-19
5.100940070340191596e+05,2.595365751718250311e-19
5.637410620586725418e+05,3.169987481042874747e-19
6.230302271123235114e+05,3.871832253757709675e-19
6.885548880866055842e+05,4.729067675204191676e-19
7.609708378121498972e+05,5.776097761646578669e-19
8.410028394536480773e+05,7.054943707739931419e-19
9.294518801832143217e+05,8.616930362833441363e-19
1.027203187729219440e+06,1.052474610197557487e-18
1.135235090032932814e+06,1.285495876370627823e-18
1.254628806683388771e+06,1.570108863106190374e-18
1.386579270126434509e+06,1.917736178937100693e-18
1.532407084950292250e+06,2.342329450174902826e-18
1.693571744940140983e+06,2.860929259677369931e-18
1.871686240182471462e+06,3.494349060141359425e-18
2.068533200412022416e+06,4.268010511110287150e-18
2.286082736169311218e+06,5.212963766522009391e-18
2.526512156329125632e+06,6.367133662973575885e-18
2.792227759339542594e+06,7.776841825926120445e-18
3.085888916265589651e+06,9.498665785787310835e-18
3.410434686668712646e+06,1.160170972276131233e-17
3.769113233702692203e+06,1.417037798157265113e-17
4.165514332822276279e+06,1.730776267793773403e-17
4.603605299462462775e+06,2.113978136815438700e-17
5.087770695264853537e+06,2.582023086102983120e-17
5.622856210244232789e+06,3.153696002636587202e-17
6.214217160082971677e+06,3.851940937291622081e-17
6.867772083930340596e+06,4.704782003471138321e-17
7.590061979131595232e+06,5.746448182103638718e-17
8.388315765727943741e+06,7.018747184328845646e-17
9.270522635917978361e+06,8.572743521877242388e-17
1.024551201257853955e+07,1.047080814828574212e-16
1.132304191709649749e+07,1.278912195221542571e-16
1.251389663092657365e+07,1.562073360647879230e-16
1.382999462830489315e+07,1.907929453495605643e-16
1.528450786034498923e+07,2.330362094862730494e-16
1.689199358435191587e+07,2.846326611391282291e-16
1.866854005774615332e+07,3.476532658598952095e-16
2.063192755475132912e+07,4.246275569720559291e-16
2.280180631735477224e+07,5.186451812810686325e-16
2.519989322153408825e+07,6.334799333960242112e-16
2.785018912705110386e+07,7.737412598286163162e-16
3.077921908612347767e+07,9.450593176166073897e-16
3.401629781506259739e+07,1.154311020390995190e-15
3.759382308580736816e+07,1.409896151809770567e-15
4.154759997371523082e+07,1.722074638396191495e-15
4.591719920679059625e+07,2.103378532040153790e-15
5.074635320283114165e+07,2.569115255727916165e-15
5.608339375816401094e+07,3.137982335424021548e-15
6.198173576850815117e+07,3.832818324283519582e-15
6.850041182320436835e+07,4.681520103226011544e-15
7.570466302321070433e+07,5.718163435235072647e-15
8.366659193596929312e+07,6.984371829564905343e-15
9.246588422213579714e+07,8.530988766422422345e-15
1.021906061564543098e+08,1.042012054620227539e-14
1.129380860246356130e+08,1.272763195339977923e-14
1.248158882175529748e+08,1.554619516724511090e-14
1.379428897718203366e+08,1.898901464668541675e-14
1.524504701311306357e+08,2.319437796887426945e-14
1.684838260358857214e+08,2.833121591134874511e-14
1.862034247009775639e+08,3.460589578834708327e-14
2.057866098256090283e+08,4.227052183227366287e-14
2.274293765086433589e+08,5.163307727179271455e-14
2.513483328334296644e+08,6.306981716902228846e-14
2.777828677543048263e+08,7.704041206209401302e-14
3.069975469817113876e+08,9.410645371297543061e-14
3.392847608447496891e+08,1.149540703060363458e-13
3.749676506318683624e+08,1.404215648110209724e-13
4.144033426974908710e+08,1.715331936775225933e-13
4.579865227026030421e+08,2.095404518335667353e-13
5.061533857615095377e+08,2.559725342197557763e-13
5.593860020291447639e+08,3.126980161385749409e-13
6.182171414212162495e+08,3.820002495897849389e-13
6.832356057545877695e+08,4.666695288498272101e-13
7.550921216737687588e+08,5.701157581816163458e-13
8.345058533418880701e+08,6.965061848940153906e-13
9.222716000773558617e+08,8.509337749574508353e-13
1.019267750972588181e+09,1.039623045885108567e-12
1.126465076107275724e+09,1.270181680665774316e-12
1.244936442341632605e+09,1.551908084869705708e-12
1.375867550928532600e+09,1.896167285492869303e-12
1.520568804410178423e+09,2.316850286234743578e-12
1.680488421567187071e+09,2.830935285457531284e-12
1.857226931678904533e+09,3.459173140987495533e-12
2.052553193158393145e+09,4.226924256547754486e-12
2.268422096881963730e+09,5.165179808443541720e-12
2.506994131394124508e+09,6.311807078924113998e-12
2.770657005803105831e+09,7.713066767451292433e-12
3.062049546776143551e+09,9.425459653612208380e-12
3.384088108803711414e+09,1.151797098929376843e-11
3.739995762055480480e+09,1.407479352969684952e-11
4.133334549949884892e+09,1.719862406009606087e-11
4.568041139281908989e+09,2.101464329059424769e-11
5.048466219707514763e+09,2.567530435052869518e-11
