# E[eV], EF_E [erg/cm^3s]
4.836209802281038402e-05,0.000000000000000000e+00
5.344838427193390122e-05,0.000000000000000000e+00
5.906959991547306539e-05,1.121464258724622608e-14
6.528200396894464188e-05,1.359031851382097696e-14
7.214777226017674483e-05,1.627670239967077517e-14
7.973561970589209259e-05,1.928291472068622372e-14
8.812148803369157610e-05,2.262133378692415286e-14
9.738930583238693424e-05,2.630917148682834019e-14
1.076318285375292479e-04,3.037223370592262827e-14
1.189515667589820648e-04,3.484587432367618882e-14
1.314618122415605846e-04,3.977740082640686291e-14
1.452877717268941332e-04,4.522607708121177831e-14
1.605678200645763816e-04,5.126441127896839247e-14
1.774548851141735358e-04,5.797809034220710276e-14
1.961179782986400069e-04,6.546700861820489006e-14
2.167438861274474421e-04,7.384609377705296887e-14
2.395390396187550386e-04,8.324654543508888235e-14
2.647315803304179272e-04,9.381803883102962058e-14
2.925736436773854459e-04,1.057301190532897174e-13
3.233438823876739121e-04,1.191761894824233820e-13
3.573502553525289833e-04,1.343747077458946471e-13
3.949331097825222467e-04,1.515755612384557199e-13
4.364685875168196143e-04,1.710605487232880427e-13
4.823723895771454546e-04,1.931531020828392801e-13
5.331039366433185100e-04,2.182173458153800059e-13
5.891709670898368943e-04,2.466725329111556224e-13
6.511346186021931687e-04,2.789898023240802950e-13
7.196150442314208813e-04,3.157130740306717340e-13
7.952976190942883522e-04,3.574524791276644989e-13
8.789397998378126490e-04,4.049138552088321886e-13
9.713787055199793073e-04,4.588877180585017187e-13
1.073539495778651079e-03,5.202898542858294596e-13
1.186444630140157325e-03,5.901446992757531235e-13
1.311224101137921762e-03,6.696398229236151665e-13
1.449126743657514708e-03,7.601027140107830001e-13
1.601532733695945924e-03,8.630723274801272963e-13
1.769967401626952727e-03,9.802683116602616888e-13
1.956116498220023762e-03,1.113683274522064320e-12
2.161843066200747673e-03,1.265543674036872959e-12
2.389206086208556842e-03,1.438426990262955749e-12
2.640481083767029849e-03,1.635213580655043381e-12
2.918182903508193676e-03,1.859233927242225106e-12
3.225090878582802766e-03,2.114210477614672687e-12
3.564276647160758045e-03,2.404441404710178254e-12
3.939134894418251653e-03,2.734731607425612592e-12
4.353417327688028672e-03,3.110620405457313748e-12
4.811270224807417777e-03,3.538300689586757341e-12
5.317275931460431135e-03,4.024900051122824146e-12
5.876498722833677427e-03,4.578386588705483155e-12
6.494535488584475026e-03,5.207913830423938747e-12
7.177571748393764273e-03,5.923714666380371982e-12
7.932443558726178998e-03,6.737520704368716593e-12
8.766705930380648895e-03,7.662442959019531254e-12
9.688708441578021413e-03,8.713482361863964243e-12
1.070767880334607368e-02,9.907392354857739314e-12
1.183381521355310675e-02,1.126330329188021312e-11
1.307838842390006764e-02,1.280255991916385211e-11
1.445385454139153092e-02,1.454948318018629050e-11
1.597397969324157105e-02,1.653117662231748227e-11
1.765397780290156593e-02,1.877845235583911516e-11
1.951066285611978771e-02,2.132559840698822963e-11
2.156261718096237276e-02,2.421149501008409738e-11
2.383037742599786526e-02,2.747933611054423574e-11
2.633664009797929279e-02,3.117788167613917168e-11
2.910648871611172528e-02,3.536137545085867681e-11
