# E[eV], EF_E [erg/cm^3s]
2.148045441666062106e+04,0.000000000000000000e+00
2.373957352834291305e+04,0.000000000000000000e+00
2.623628627104307088e+04,2.354369109869312709e-24
2.899558058506422094e+04,2.875632986984278449e-24
3.204507241533183333e+04,3.512306146074807693e-24
3.541528210105287872e+04,4.289940528133040287e-24
3.913993983352864598e+04,5.239745347037888296e-24
4.325632323924644879e+04,6.399839626311670315e-24
4.780563046689503244e+04,7.816782051296731751e-24
5.283339251228352077e+04,9.547439535265310235e-24
5.838992890785140480e+04,1.166126949181680455e-23
6.453085133746190695e+04,1.424310740948352742e-23
7.131762021682590421e+04,1.739657160412998914e-23
7.881815980999995372e+04,2.124822179439129758e-23
8.710753803825072828e+04,2.595263839916387871e-23
9.626871778504291433e+04,3.169862640824429821e-23
1.063933872164612694e+05,3.871679281064650972e-23
1.175828774271943257e+05,4.728880169131988353e-23
1.299491765961889032e+05,5.775867843838287943e-23
1.436160508019844710e+05,7.054661674189132438e-23
1.587202827152279788e+05,8.616584251219851161e-23
1.754130405656148214e+05,1.052432115325224066e-22
1.938613910843412741e+05,1.285443675104329905e-22
2.142499715641038783e+05,1.570044702207936348e-22
2.367828377711820358e+05,1.917657269840725806e-22
2.616855062041342608e+05,2.342232337711604573e-22
2.892072111387135810e+05,2.860809657276917223e-22
3.196233990482696099e+05,3.494201642526984276e-22
3.532384853646357078e+05,4.267828652971308769e-22
3.903889011700855335e+05,5.212739212362611465e-22
4.314464603126865113e+05,6.366856109065954355e-22
4.768220806442599860e+05,7.776498389733317894e-22
5.269698966243572067e+05,9.498240330958320961e-22
5.823918044505708385e+05,1.160118199829816863e-21
6.436424852043701103e+05,1.416972252131001979e-21
7.113349562858048594e+05,1.730694739010697129e-21
7.861467066976834321e+05,2.113876572326019379e-21
8.688264775832252344e+05,2.581896355785945938e-21
9.602017558790857438e+05,3.153537597843039172e-21
1.061187056082737632e+06,3.851742580798327310e-21
1.172793073020952521e+06,4.704533143432705283e-21
1.296136797223325586e+06,5.746135333967629209e-21
1.432452694138931576e+06,7.018353073086462696e-21
1.583105059081460349e+06,8.572245961604868304e-21
1.749601671555259032e+06,1.047017857540284400e-20
1.933608885619412875e+06,1.278832350152188443e-20
2.136968307319235988e+06,1.561971858252668155e-20
2.361715226098565850e+06,1.907800108256505245e-20
2.610098984660586808e+06,2.330196866121197434e-20
2.884605491145655047e+06,2.846115023118354908e-20
3.187982098935497459e+06,3.476261031603582151e-20
3.523265103089272510e+06,4.245926004193479603e-20
3.893810128605067264e+06,5.186000838201693175e-20
4.303325714642716572e+06,6.334216115182645720e-20
4.755910430830231868e+06,7.736656549706365965e-20
5.256093897126195021e+06,9.449610784508510824e-20
5.808882117778763175e+06,1.154183079371676595e-19
6.419807583098776639e+06,1.409729160285989497e-19
7.094984640482277609e+06,1.721856212461293074e-19
7.841170688854413107e+06,2.103092244998450725e-19
8.665833808989088982e+06,2.568739291211340397e-19
9.577227506571460515e+06,3.137487685887380633e-19
1.058447331605692394e+07,3.832166380309781980e-19
1.169765209205383249e+07,4.680659426386636313e-19
1.292790490190464817e+07,5.717025436634698255e-19
1.428754452923262119e+07,6.982864981589260643e-19
1.579017870441871881e+07,8.528990848508670736e-19
1.745084629534097016e+07,1.041746825587267302e-18
1.928616782141900808e+07,1.272410698697952528e-18
2.131451179735865071e+07,1.554150557153216093e-18
2.355617857142107189e+07,1.898276983802321925e-18
2.603360349813133478e+07,2.318605527605450656e-18
2.877158147884719446e+07,2.832011577922390424e-18
3.179751511746586487e+07,3.459108182157174992e-18
3.514168897489401698e+07,4.225074058651398021e-18
3.883757266711248457e+07,5.160665101265704582e-18
4.292215584034239501e+07,6.303450058602453803e-18
4.743631837585721165e+07,7.699320097648000636e-18
5.242523952957485616e+07,9.404332993547265107e-18
5.793885010123596340e+07,1.148696617035514288e-17
6.403233215863024443e+07,1.403086929748072572e-17
7.076667131827823818e+07,1.713822729036677636e-17
7.820926710997913778e+07,2.093386918782739066e-17
8.643460753395923972e+07,2.557028848067406381e-17
9.552501456181398034e+07,3.123377726798315987e-17
1.055714680424695462e+08,3.815192161257284150e-17
1.166745162590900064e+08,4.660276048370562331e-17
1.289452822500905544e+08,5.692597794883051469e-17
1.425065759658561647e+08,6.953658054298826139e-17
1.574941233920022249e+08,8.494161235090219391e-17
1.740579249406583607e+08,1.037605833762183536e-16
1.923637567050096393e+08,1.267504372507975915e-16
2.125948296021559536e+08,1.548360683746099235e-16
2.349536230095507205e+08,1.891476236529423120e-16
2.596639112466646731e+08,2.310660992475074441e-16
2.869730031835899949e+08,2.822790793310045782e-16
3.171542173913338184e+08,3.448488753248924408e-16
3.505096176059437394e+08,4.212958270616208485e-16
