# E[eV], EF_E [erg/cm^3s]
2.244942040584571322e-05,0.000000000000000000e+00
2.481044656019472101e-05,0.000000000000000000e+00
2.741978400279713405e-05,7.684022032472921586e-18
3.030354785980730596e-05,8.083515028186979063e-18
3.349059980917261901e-05,8.507815821697068508e-18
3.701283693800733264e-05,8.958581520840326170e-18
4.090551097936185931e-05,9.438501341274654199e-18
4.520758112341473871e-05,9.949655827066209928e-18
4.996210393414365409e-05,1.049530942691873850e-17
5.521666427388854828e-05,1.107808707528609277e-17
6.102385154864809147e-05,1.170198484163548247e-17
6.744178604053153992e-05,1.237032663333773501e-17
7.453470059507547182e-05,1.308804259415298655e-17
8.237358348515321166e-05,1.385935324915163912e-17
9.103688888546789015e-05,1.469038536746763026e-17
1.006113220683030329e-04,1.558650890616482244e-17
1.111927071790312920e-04,1.655538785350784910e-17
1.228869462763664303e-04,1.760386525709659078e-17
1.358110792357648724e-04,1.874158376432422139e-17
1.500944551238349983e-04,1.997727444591895976e-17
1.658800267672724577e-04,2.132312974909835579e-17
1.833257814727997715e-04,2.279030167614997428e-17
2.026063222172292213e-04,2.439426978676400912e-17
2.239146151327460889e-04,2.614929273060951550e-17
2.474639207768126103e-04,2.807508685494794641e-17
2.734899285155086989e-04,3.018990113711380382e-17
3.022531153819284526e-04,3.251890946719351630e-17
3.340413530178698012e-04,3.508549082350077260e-17
3.691727887899911914e-04,3.792184336320704845e-17
4.079990299155822537e-04,4.105794559473005931e-17
4.509086624657767609e-04,4.453502823379665178e-17
4.983311404655654722e-04,4.839156192593824451e-17
5.507410840140124263e-04,5.268038153432967150e-17
6.086630294417443542e-04,5.745088240460523546e-17
6.726766790468383800e-04,6.277079257460271157e-17
7.434227029502705683e-04,6.870355041937209112e-17
8.216091511378311460e-04,7.533597732131385118e-17
9.080185398623484214e-04,8.274953989037906041e-17
1.003515683329382190e-03,9.105550554835689017e-17
1.109056349048445720e-03,1.003584450179037300e-16
1.225696823475494251e-03,1.108008752060709898e-16
1.354604483682818761e-03,1.225169120796959754e-16
1.497069480861126269e-03,1.356889414521135943e-16
1.654517652586326437e-03,1.504887645233057826e-16
1.828524793081198144e-03,1.671495143613477051e-16
2.020832424293627326e-03,1.858909163580691191e-16
2.233365225633627844e-03,2.070105191787484318e-16
2.468250296811737472e-03,2.307887823060007835e-16
2.727838446567921321e-03,2.576047562063826643e-16
3.014727720355522226e-03,2.878155597767437077e-16
3.331789402453409505e-03,3.219029797882575751e-16
3.682196752744153027e-03,3.603204434837278157e-16
4.069456765765415429e-03,4.036786900689403032e-16
4.497445269890126829e-03,4.525514794758952677e-16
4.970445717919456941e-03,5.077106132630615136e-16
5.493192057318206645e-03,5.698792750567534494e-16
6.070916109152225439e-03,6.400042870888051326e-16
6.709399929911989864e-03,7.190215358469644713e-16
7.415033680277531049e-03,8.081170034342632070e-16
8.194879579994178084e-03,9.084828427295616825e-16
9.056742588941525327e-03,1.021595955534138718e-15
1.000924852179533621e-02,1.148958983603246651e-15
1.106193037807984628e-02,1.292401314459337629e-15
1.222532375163141831e-02,1.453800900628631731e-15
1.351107227436253340e-02,1.635411400776123787e-15
1.493204414964363798e-02,1.839561385402344704e-15
1.650246094160778484e-02,2.069010862574224624e-15
1.823803990934415309e-02,2.326624428743606400e-15
2.015615131051020845e-02,2.615760325166941574e-15
2.227599224870826719e-02,2.939913861217288675e-15
2.461877880455087472e-02,3.303141879922092811e-15
2.720795837332681821e-02,3.709672338420669467e-15
3.006944433441354619e-02,4.164367407461221506e-15
3.323187540108844817e-02,4.672293593936289092e-15
3.672690224639649920e-02,5.239227736949092431e-15
4.058950427372449987e-02,5.871180009683187229e-15
4.485833970242759927e-02,6.574947955128812753e-15
4.957613247228107034e-02,7.357582745138170797e-15
5.479009983903088132e-02,8.226997666951110382e-15
6.055242494055823599e-02,9.191364893832034073e-15
6.692077906326333869e-02,1.025978660050588155e-14
7.395889883568443346e-02,1.144160597420227555e-14
8.173722412609742138e-02,1.274715127576762342e-14
9.033360302839385514e-02,1.418694053638796452e-14
9.983407099197127987e-02,1.577251168719267683e-14
1.103337118934260563e-01,1.751549524588447085e-14
1.219376096679518628e-01,1.942854743661651108e-14
1.347619000246804977e-01,2.152425906047169720e-14
1.489349327718944849e-01,2.381621382749819530e-14
1.645985563850497213e-01,2.631769444067139979e-14
1.819095376739912340e-01,2.904289590711615113e-14
2.010411307578818252e-01,3.200538161986404685e-14
2.221848110506549068e-01,3.521949222497823641e-14
2.455521916113160286e-01,3.869849520027626666e-14
