# E[eV], EF_E [erg/cm^3s]
4.627468430332138087e+04,0.000000000000000000e+00
5.114143533516243770e+04,0.000000000000000000e+00
5.652002704106782039e+04,2.612845216337290392e-26
6.246429017463743367e+04,3.191336420053396488e-26
6.903371691924768675e+04,3.897907194994885401e-26
7.629405630581929290e+04,4.760914719594663676e-26
8.431797225121743395e+04,5.814994532637994285e-26
9.318577080315491185e+04,7.102450580552667115e-26
1.029862038701097335e+05,8.674953025349966764e-26
1.138173574802549701e+05,1.059561195239465931e-25
1.257876334593975189e+05,1.294151020342717059e-25
1.390168343528853438e+05,1.580679698665557379e-25
1.536373624497484998e+05,1.930646642180623875e-25
1.697955449093098287e+05,2.358097266702499988e-25
1.876530982525767176e+05,2.880186684970125902e-25
2.073887468755398295e+05,3.517868203215700005e-25
2.292000117829983938e+05,4.296734253155139169e-25
2.533051874451655021e+05,5.248043509156733123e-25
2.799455265620980063e+05,6.409975412680494014e-25
3.093876546018042136e+05,7.829162452828671661e-25
3.419262382775472943e+05,9.562561699305889089e-25
3.778869346713494742e+05,1.167974069965155070e-24
4.176296505195274367e+05,1.426566948273707347e-24
4.615521442802785896e+05,1.742413072265968985e-24
5.100940070340191596e+05,2.128188492654127086e-24
5.637410620586725418e+05,2.599375781208214260e-24
6.230302271123235114e+05,3.174885405221337309e-24
6.885548880866055842e+05,3.877814677031619410e-24
7.609708378121498972e+05,4.736374738460360229e-24
8.410028394536480773e+05,5.785022784049450291e-24
9.294518801832143217e+05,7.065844964194965353e-24
1.027203187729219440e+06,8.630245470288400126e-24
1.135235090032932814e+06,1.054100959260997034e-23
1.254628806683388771e+06,1.287482355119654006e-23
1.386579270126434509e+06,1.572535223267237797e-23
1.532407084950292250e+06,1.920699835792067299e-23
1.693571744940140983e+06,2.345949395525558525e-23
1.871686240182471462e+06,2.865350841921809132e-23
2.068533200412022416e+06,3.499749823713029475e-23
2.286082736169311218e+06,4.274607330189072723e-23
2.526512156329125632e+06,5.221021560063831303e-23
2.792227759339542594e+06,6.376976041828978827e-23
3.085888916265589651e+06,7.788864100711776122e-23
3.410434686668712646e+06,9.513350859393814363e-23
3.769113233702692203e+06,1.161964750779107160e-22
4.165514332822276279e+06,1.419228912533383719e-22
4.603605299462462775e+06,1.733452755166108970e-22
5.087770695264853537e+06,2.117247548994474828e-22
5.622856210244232789e+06,2.586016818239093721e-22
6.214217160082971677e+06,3.158574583059156867e-22
6.867772083930340596e+06,3.857900492325332922e-22
7.590061979131595232e+06,4.712062158696295640e-22
8.388315765727943741e+06,5.755341719878317173e-22
9.270522635917978361e+06,7.029611848821246486e-22
1.024551201257853955e+07,8.586016450319271152e-22
1.132304191709649749e+07,1.048702351427664318e-21
1.251389663092657365e+07,1.280893253813243907e-21
1.382999462830489315e+07,1.564493718286261378e-21
1.528450786034498923e+07,1.910886612186602169e-21
1.689199358435191587e+07,2.333975227569329667e-21
1.866854005774615332e+07,2.850741389235062969e-21
2.063192755475132912e+07,3.481927156977929965e-21
2.280180631735477224e+07,4.252867495747362586e-21
2.519989322153408825e+07,5.194507351366013569e-21
2.785018912705110386e+07,6.344643977121530783e-21
3.077921908612347767e+07,7.749444405859477914e-21
3.401629781506259739e+07,9.465299017144760451e-21
3.759382308580736816e+07,1.156108565440183974e-20
4.154759997371523082e+07,1.412093524617835467e-20
4.591719920679059625e+07,1.724761004295086420e-20
5.074635320283114165e+07,2.106663020783735717e-20
5.608339375816401094e+07,2.573131458811038264e-20
6.198173576850815117e+07,3.142893825682614177e-20
6.850041182320436835e+07,3.838825433195140149e-20
7.570466302321070433e+07,4.688868246527789454e-20
8.366659193596929312e+07,5.727153345920074782e-20
9.246588422213579714e+07,6.995372142274686119e-20
1.021906061564543098e+08,8.544451502818203276e-20
1.129380860246356130e+08,1.043660018220625428e-19
1.248158882175529748e+08,1.274780891269889274e-19
1.379428897718203366e+08,1.557090478924057455e-19
1.524504701311306357e+08,1.901928293131941186e-19
1.684838260358857214e+08,2.323146571824134430e-19
1.862034247009775639e+08,2.837667328472543607e-19
2.057866098256090283e+08,3.466162978332777997e-19
2.274293765086433589e+08,4.233887982521031780e-19
2.513483328334296644e+08,5.171695052703552413e-19
2.777828677543048263e+08,6.317276919751768508e-19
3.069975469817113876e+08,7.716683792389806058e-19
3.392847608447496891e+08,9.426177787438972675e-19
3.749676506318683624e+08,1.151449925524735043e-18
4.144033426974908710e+08,1.406563660680651109e-18
4.579865227026030421e+08,1.718221165076206213e-18
5.061533857615095377e+08,2.098961739730087919e-18
5.593860020291447639e+08,2.564107579326395753e-18
6.182171414212162495e+08,3.132382015316868378e-18
6.832356057545877695e+08,3.826665264898316353e-18
7.550921216737687588e+08,4.674918294976736967e-18
8.345058533418880701e+08,5.711312218796780596e-18
9.222716000773558617e+08,6.977608957400467250e-18
1.019267750972588181e+09,8.524849045334348100e-18
1.126465076107275724e+09,1.041541483410815345e-17
1.244936442341632605e+09,1.272555242081890669e-17
1.375867550928532600e+09,1.554845396763904080e-17
1.520568804410178423e+09,1.899802434943225576e-17
1.680488421567187071e+09,2.321348305662132154e-17
1.857226931678904533e+09,2.836498489824164179e-17
2.052553193158393145e+09,3.466048233196370769e-17
2.268422096881963730e+09,4.235409934572904065e-17
2.506994131394124508e+09,5.175634296582364741e-17
2.770657005803105831e+09,6.324654492359880714e-17
3.062049546776143551e+09,7.728800393148195922e-17
3.384088108803711414e+09,9.444638924871258461e-17
3.739995762055480480e+09,1.154120689777903736e-16
4.133334549949884892e+09,1.410271409003652042e-16
4.568041139281908989e+09,1.723180667890404507e-16
5.048466219707514763e+09,2.105349370846677062e-16
