# E[eV], EF_E [erg/cm^3s]
4.836209802281038402e-05,0.000000000000000000e+00
5.344838427193390122e-05,0.000000000000000000e+00
5.906959991547306539e-05,4.419805557863096146e-16
6.528200396894464188e-05,5.978244171426711675e-16
7.214777226017674483e-05,8.106140515773669536e-16
7.973561970589209259e-05,1.102099720977061179e-15
8.812148803369157610e-05,1.502584290984123769e-15
9.738930583238693424e-05,2.054557788431372577e-15
1.076318285375292479e-04,2.817413103085794298e-15
1.189515667589820648e-04,3.874555451504934821e-15
1.314618122415605846e-04,5.342605757749742938e-15
1.452877717268941332e-04,7.385122770175248487e-15
1.605678200645763816e-04,1.023030805326590065e-14
1.774548851141735358e-04,1.419698515545025149e-14
1.961179782986400069e-04,1.972796814644218023e-14
2.167438861274474421e-04,2.743859011981590432e-14
2.395390396187550386e-04,3.817815895077091876e-14
2.647315803304179272e-04,5.311827643991603961e-14
2.925736436773854459e-04,7.386232032729224191e-14
3.233438823876739121e-04,1.025988057682286901e-13
3.573502553525289833e-04,1.422834444373555289e-13
3.949331097825222467e-04,1.968802522877980367e-13
4.364685875168196143e-04,2.716226384160396373e-13
4.823723895771454546e-04,3.733200444249400945e-13
5.331039366433185100e-04,5.106091310517114035e-13
5.891709670898368943e-04,6.941963341174211018e-13
6.511346186021931687e-04,9.369148209344842839e-13
7.196150442314208813e-04,1.253684619480334854e-12
7.952976190942883522e-04,1.661050970928431064e-12
8.789397998378126490e-04,2.176524767591677163e-12
9.713787055199793073e-04,2.817293181871810430e-12
1.073539495778651079e-03,3.598923817396111890e-12
1.186444630140157325e-03,4.533710011980061330e-12
1.311224101137921762e-03,5.629481696013662069e-12
1.449126743657514708e-03,6.888578299986850681e-12
1.601532733695945924e-03,8.307839035801534982e-12
1.769967401626952727e-03,9.878967075319490220e-12
1.956116498220023762e-03,1.158993963414426071e-11
2.161843066200747673e-03,1.342644212877151496e-11
2.389206086208556842e-03,1.537382637028959462e-11
2.640481083767029849e-03,1.741848974237676677e-11
2.918182903508193676e-03,1.954931754783133110e-11
3.225090878582802766e-03,2.175823265310958214e-11
3.564276647160758045e-03,2.404080489673315469e-11
3.939134894418251653e-03,2.639610721028848124e-11
4.353417327688028672e-03,2.882667986622522206e-11
4.811270224807417777e-03,3.133789938845158369e-11
5.317275931460431135e-03,3.393766803857145699e-11
5.876498722833677427e-03,3.663559318339860590e-11
6.494535488584475026e-03,3.944263178175022651e-11
7.177571748393764273e-03,4.237046399450363148e-11
7.932443558726178998e-03,4.543135219451993847e-11
8.766705930380648895e-03,4.863763051267513905e-11
9.688708441578021413e-03,5.200191532765788110e-11
1.070767880334607368e-02,5.553673744598027546e-11
1.183381521355310675e-02,5.925469829892985141e-11
1.307838842390006764e-02,6.316847579234147625e-11
1.445385454139153092e-02,6.729084893576406170e-11
1.597397969324157105e-02,7.163470488361754670e-11
1.765397780290156593e-02,7.621332670695459740e-11
1.951066285611978771e-02,8.104008344569274789e-11
2.156261718096237276e-02,8.612900467798501585e-11
2.383037742599786526e-02,9.149421237947006294e-11
2.633664009797929279e-02,9.715067979609598546e-11
2.910648871611172528e-02,1.031136801440227669e-10
